token_id	words	labels
14	marrón	O
15	purpúreo	O

1	Flores	O
2	femeninas	O
3	en	O
4	amentos	O
5	cilíndricos	O
6	rectos	O
7	de	O
8	color	O
9	verde	O
10	pálido	O

1	Los	O
2	frutos	O
3	son	O
4	aquenios	O
5	con	O
6	dos	O
7	alas	O
8	laterales	O
9	de	O
10	color	O
11	pardo	O
12	amparados	O
13	por	O
14	una	O
15	escama	O
16	lateral	O
17	trilobada,	O
18	formando	O
19	una	O
20	infrutescencia	O
21	cilíndrica	O
22	colgante	O
23	que	O
24	se	O
25	desarticula	O
26	en	O
27	la	O
28	madurez	O

1	Datos	O
2	de	O
3	cultivo:	O
4	Se	O
5	multiplica	O
6	por	O
7	semillas,	O
8	esquejes	O
9	y	O
10	acodos	O

1	Tolera	O
2	el	O
3	frío	O
4	y	O
5	varios	O
6	tipos	O
7	de	O
8	suelos	O

1	Posee	O
2	una	O
3	madera	O
4	amarillenta	O
5	o	O
6	blanco-rojiza,	O
7	elástica,	O
8	no	O
9	duradera,	O
10	empleada	O
11	en	O
12	la	O
13	fabricación	O
14	de	O
15	pipas,	O
16	cajas,	O
17	zuecos,	O
18	etc	O

1	Su	O
2	corteza	O
3	se	O
4	emplea	O
5	para	O
6	fabricar	O
7	calzados,	O
8	cestas,	O
9	cajas,	O
10	etc	O

1	Sus	O
2	hojas	O
3	tienen	O
4	propiedades	O
5	medicinales	O

1	Familia:	O
2	Pinaceae	O
3	Sinónimos:	O
4	Abies	O
5	menziesii	O
6	Mirb	O

1	,	O
2	Pseudotsuga	O
3	douglasii	O
4	(Lindl	O

1	)	O
2	Carrière	O
3	Nombre	O
4	común:	O
5	Abeto	O
6	de	O
7	Douglas,	O
8	pino	O
9	de	O
10	Oregón	O
11	Douglas	O
12	fir	O
13	Lugar	O
14	de	O
15	origen:	O
16	Su	O
17	área	O
18	de	O
19	origen	O
20	se	O
21	extiende	O
22	por	O
23	la	O
24	parte	O
25	occidental	O
26	de	O
27	América	O
28	del	O
29	Norte	O

1	Etimología:	O
2	Pseudotsuga,	O
3	del	O
4	prefijo	O
5	pseudo	O
6	=	O
7	falso	O
8	y	O
9	el	O
10	género	O
11	Tsuga,	O
12	por	O
13	su	O
14	parecido	O

1	Menziesii,	O
2	dedicado	O
3	a	O
4	Archibald	O
5	Menzies	O
6	(1754-1842),	O
7	cirujano	O
8	y	O
9	botánico	O
10	escocés	O
11	que	O
12	participó	O
13	en	O
14	la	O
15	exploración	O
16	de	O
17	la	O
18	zona	O
19	del	O
20	pacífico	O

1	Descripción:	O
2	Árbol	O
3	de	O
4	gran	O
5	talla,	O
6	pudiendo	O
7	alcanzar	O
8	los	O
9	100	O
10	m	O
11	de	O
12	altura,	O
13	estando	O
14	considerado	O
15	como	O
16	uno	O
17	de	O
18	los	O
19	árboles	O
20	más	O
21	altos	O
22	del	O
23	mundo	O

1	Corteza	O
2	gruesa,	O
3	corchosa,	O
4	más	O
5	o	O
6	menos	O
7	profundamente	O
8	agrietada	O

1	Copa	O
2	irregular,	O
3	con	O
4	ramillas	O
5	colgantes	O

1	Acículas	O
2	suaves,	O
3	flexibles,	O
4	de	O
5	1530	O
6	mm	O
7	de	O
8	longitud	O
9	y	O
10	ápice	O
11	redondeado,	O
12	que	O
13	dejan	O
14	una	O
15	cicatriz	O
16	oval	O
17	al	O
18	caerse	O

1	Son	O
2	de	O
3	color	O
4	verde	O
5	oscuro	O
6	y	O
7	se	O
8	disponen	O
9	en	O
10	cepillo	O
11	rebatido	O
12	o	O
13	casi	O
14	dísticas	O

1	Desprenden	O
2	un	O
3	fuerte	O
4	olor	O
5	a	O
6	limón	O
7	o	O
8	mandarina	O
9	al	O
10	frotarlas	O

1	Inflorescencias	O
2	masculinas	O
3	verde-amarillentas,	O
4	las	O
5	femeninas	O
6	verdosas	O
7	o	O
8	rojizas	O

1	Piña	O
2	ovoide-cónica,	O
3	colgante,	O
4	de	O
5	5-10	O
6	cm	O
7	de	O
8	longitud,	O
9	de	O
10	color	O
11	marrón	O
12	claro,	O
13	con	O
14	brácteas	O
15	trífidas	O
16	que	O
17	sobresalen	O
18	entre	O
19	las	O
20	escamas	O
21	de	O
22	la	O
23	piña	O

1	Datos	O
2	de	O
3	cultivo:	O
4	Se	O
5	multiplica	O
6	por	O
7	semillas,	O
8	que	O
9	deben	O
10	estratificarse	O
11	antes	O
12	de	O
13	la	O
14	siembra	O
15	durante	O
16	15-20	O
17	días	O

1	La	O
2	semilla	O
3	mantiene	O
4	bastante	O
5	tiempo	O
6	su	O
7	poder	O
8	germinativo	O

1	Las	O
2	variedades	O
3	se	O
4	propagan	O
5	por	O
6	injerto	O
7	de	O
8	cuña	O

1	Requiere	O
2	climas	O
3	y	O
4	suelos	O
5	frescos	O
6	y	O
7	húmedos,	O
8	además	O
9	de	O
10	ligeramente	O
11	ácidos	O

1	Es	O
2	uno	O
3	de	O
4	los	O
5	árboles	O
6	madereros	O
7	más	O
8	importantes,	O
9	con	O
10	múltiples	O
11	aplicaciones	O
12	(carpintería,	O
13	ebanistería	O
14	y	O
15	pasta	O
16	de	O
17	papel)	O

1	Muy	O
2	empleado	O
3	como	O
4	ornamental	O
5	y	O
6	en	O
7	repoblaciones	O
8	forestales	O

1	Zona	O
2	7	O
3	ABIES	O
4	X	O
5	MASJOANI	O
6	Masf	O

1	Familia:	O
2	Pinaceae	O
3	Nombre	O
4	común:	O
5	abeto	O
6	de	O
7	Masjoan	O
8	Masjoan	O
9	fir	O
10	Lugar	O
11	de	O
12	origen:	O
13	Híbrido	O
14	cuyos	O
15	progenitores	O
16	pudieran	O
17	ser	O
18	A	O

1	alba	O
2	x	O
3	A	O

1	Etimología:	O
2	Abies,	O
3	nombre	O
4	clásico	O
5	latino	O
6	del	O
7	abeto	O

1	Masjoani,	O
2	dedicado	O
3	a	O
4	la	O
5	finca	O
6	Masjoan,	O
7	donde	O
8	se	O
9	descubrió	O
10	el	O
11	híbrido	O

1	Descripción:	O
2	Su	O
3	origen	O
4	se	O
5	halla	O
6	en	O
7	la	O
8	finca	O
9	de	O
10	Masjoan,	O
11	situada	O
12	en	O
13	Espinelves,	O
14	en	O
15	el	O
16	centro	O
17	del	O
18	macizo	O
19	del	O
20	Montseny,	O
21	una	O
22	masía	O
23	con	O
24	más	O
25	de	O
26	300	O
27	años	O
28	de	O
29	antigüedad	O

1	A	O
2	mediados	O
3	del	O
4	pasado	O
5	siglo	O
6	Joan	O
7	Masferrer	O
8	i	O
9	Barnils	O
10	hizo	O
11	la	O
12	primera	O
13	plantación	O
14	para	O
15	establecer	O
16	un	O
17	vivero	O
18	e	O
19	introdujo	O
20	una	O
21	serie	O
22	de	O
23	abetos	O

1	Su	O
2	biznieto,	O
3	Jesús	O
4	Masferrer,	O
5	hizo	O
6	el	O
7	descubrimiento	O
8	de	O
9	un	O
10	ejemplar	O
11	que	O
12	no	O
13	era	O
14	ni	O
15	pinabete	O
16	ni	O
17	pinsapo	O
18	y	O
19	le	O
20	puso	O
21	el	O
22	nombre	O
23	de	O
24	masjoani	O

1	Tiene	O
2	acículas	O
3	de	O
4	ápice	O
5	redondeado	O
6	o	O
7	escotado,	O
8	dispuestas	O
9	en	O
10	cepillo,	O
11	de	O
12	15-20	O
13	mm	O
14	de	O
15	longitud	O

1	Muy	O
2	difundido	O
3	como	O
4	ornamental	O

1	Datos	O
2	de	O
3	cultivo:	O
4	Similar	O
5	a	O
6	Abies	O
7	pinsapo	O
8	Familia:	O
9	Pinaceae	O
10	Sinónimos:	O
11	Pinus	O
12	nordmanniana	O
13	Steven	O
14	Nombre	O
15	común:	O
16	Abeto	O
17	del	O
18	Cáucaso	O
19	Caucasian	O
20	fir	O
21	Lugar	O
22	de	O
23	origen:	O
24	Procede	O
25	de	O
26	la	O
27	parte	O
28	occidental	O
29	de	O
30	la	O
31	cordillera	O
32	del	O
33	Cáucaso	O

1	Etimología:	O
2	Abies,	O
3	nombre	O
4	clásico	O
5	latino	O
6	del	O
7	abeto	O

1	Nordmanniana,	O
2	en	O
3	honor	O
4	de	O
5	Alexander	O
6	Davidovic	O
7	von	O
8	Nordmann	O
9	(1803-1866),	O
10	botánico	O
11	finlandés	O
12	descubridor	O
13	de	O
14	esta	O
15	especie	O

1	Descripción:	O
2	Árbol	O
3	que	O
4	puede	O
5	alcanzar	O
6	hasta	O
7	60	O
8	m	O
9	de	O
10	altura,	O
11	con	O
12	la	O
13	corteza	O
14	gris	O
15	y	O
16	lisa,	O
17	para	O
18	después	O
19	agrietarse	O
20	longitudinalmente	O
21	con	O
22	los	O
23	años	O

1	Acículas	O
2	de	O
3	las	O
4	ramillas	O
5	estériles	O
6	de	O
7	20-30	O
8	mm	O
9	de	O
10	longitud,	O
11	con	O
12	el	O
13	ápice	O
14	truncado	O
15	o	O
16	escotado	O

1	Están	O
2	dispuestas	O
3	en	O
4	cepillo	O
5	levantado,	O
6	revueltas	O
7	hacia	O
8	la	O
9	extremidad	O
10	del	O
11	ramillo,	O
12	al	O
13	que	O
14	ocultan	O

1	Inflorescencias	O
2	masculinas	O
3	de	O
4	color	O
5	amarillo	O
6	verdoso	O
7	y	O
8	las	O
9	femeninas	O
10	verdosas	O
11	en	O
12	el	O
13	momento	O
14	de	O
15	la	O
16	floración	O

1	Conos	O
2	cilíndricos,	O
3	erectos,	O
4	de	O
5	14-17	O
6	cm	O
7	de	O
8	longitud,	O
9	con	O
10	exudaciones	O
11	de	O
12	resina	O

1	Brácteas	O
2	alargadas	O
3	y	O
4	finas	O
5	que	O
6	sobresalen	O
7	y	O
8	se	O
9	revuelven	O
10	por	O
11	encima	O
12	de	O
13	las	O
14	escamas	O
15	de	O
16	la	O
17	piña	O

1	Datos	O
2	de	O
3	cultivo:	O
4	Se	O
5	multiplica	O
6	por	O
7	semillas	O
8	y	O
9	por	O
10	esquejes	O
11	e	O
12	injertos	O
13	las	O
14	variedades	O

1	Vegeta	O
2	en	O
3	climas	O
4	frescos	O
5	y	O
6	con	O
7	humedad	O
8	ambiental	O

1	Cuando	O
2	jóvenes	O
3	gustan	O
4	de	O
5	lugares	O
6	sombreados	O

1	Los	O
2	suelos	O
3	deben	O
4	ser	O
5	frescos	O
6	y	O
7	drenantes,	O
8	perjudicándoles	O
9	los	O
10	calcáreos	O

1	Su	O
2	madera	O
3	se	O
4	emplea	O
5	localmente	O

1	De	O
2	interés	O
3	ornamental	O
4	por	O
5	sus	O
6	ramas	O
7	extendidas	O
8	y	O
9	su	O
10	abundante	O
11	follaje	O

1	Soporta	O
2	relativamente	O
3	bien	O
4	la	O
5	contaminación	O

1	Zona	O
2	7	O
3	ABIES	O
4	CONCOLOR	O
5	(Gordon	O
6	&	O
7	Glend	O

1	)	O
2	Lindl	O

1	Familia:	O
2	Pinaceae	O
3	Sinónimos:	O
4	Picea	O
5	concolor	O
6	Gordon	O
7	&	O
8	Glend	O

1	Nombre	O
2	común:	O
3	Abeto	O
4	del	O
5	Colorado	O
6	White	O
7	fir,	O
8	Colorado	O
9	fir	O
10	Lugar	O
11	de	O
12	origen:	O
13	Su	O
14	área	O
15	de	O
16	distribución	O
17	es	O
18	muy	O
19	amplia,	O
20	por	O
21	el	O
22	sureste	O
23	de	O
24	EE	O

1	y	O
2	norte	O
3	de	O
4	México	O

1	Etimología:	O
2	Abies,	O
3	nombre	O
4	clásico	O
5	latino	O
6	del	O
7	abeto	O

1	Concolor	O
2	=	O
3	del	O
4	mismo	O
5	color	O
6	por	O
7	todos	O
8	lados,	O
9	opuesto	O
10	a	O
11	discolor	O

1	Descripción:	O
2	Árbol	O
3	que	O
4	puede	O
5	alcanzar	O
6	hasta	O
7	45	O
8	m	O
9	de	O
10	altura	O

1	Corteza	O
2	lisa,	O
3	con	O
4	ampollas	O
5	de	O
6	resina,	O
7	tornándose	O
8	agrietada	O
9	irregularmente	O
10	con	O
11	la	O
12	edad	O

1	Acículas	O
2	de	O
3	las	O
4	ramillas	O
5	estériles	O
6	de	O
7	hasta	O
8	70	O
9	mm	O
10	de	O
11	longitud,	O
12	dispuestas	O
13	en	O
14	cepillo	O

1	Ápice	O
2	en	O
3	punta	O
4	o	O
5	redondeado,	O
6	un	O
7	poco	O
8	escotado,	O
9	pero	O
10	no	O
11	punzante	O

1	El	O
2	conjunto	O
3	del	O
4	follaje	O
5	presenta	O
6	una	O
7	tonalidad	O
8	gris	O
9	plateada	O

1	Yemas	O
2	cubiertas	O
3	de	O
4	resina	O
5	y	O
6	bien	O
7	diferenciadas	O
8	de	O
9	las	O
10	acículas	O
11	terminales	O

1	Cono	O
2	erecto,	O
3	cilíndrico,	O
4	de	O
5	8-10	O
6	cm	O
7	de	O
8	longitud,	O
9	a	O
10	menudo	O
11	de	O
12	color	O
13	verde	O
14	purpúreo	O
15	antes	O
16	de	O
17	la	O
18	madurez	O

1	Brácteas	O
2	sin	O
3	sobresalir	O
4	entre	O
5	las	O
6	escamas	O

1	Datos	O
2	de	O
3	cultivo:	O
4	Se	O
5	multiplica	O
6	por	O
7	semillas	O
8	y	O
9	las	O
10	variedades	O
11	por	O
12	injertos	O

1	Se	O
2	utiliza	O
3	aislado	O
4	o	O
5	en	O
6	grupos	O

1	Requiere	O
2	suelos	O
3	de	O
4	tipo	O
5	medio	O
6	y	O
7	de	O
8	ligeramente	O
9	ácidos	O
10	a	O
11	neutros	O

1	Se	O
2	cultiva	O
3	al	O
4	sol	O
5	o	O
6	a	O
7	media	O
8	sombra	O

1	La	O
2	madera	O
3	se	O
4	utiliza	O
5	localmente	O

1	Se	O
2	ha	O
3	difundido	O
4	como	O
5	ornamental	O
6	por	O
7	su	O
8	follaje	O
9	con	O
10	tonalidades	O
11	glaucas	O

1	Muy	O
2	difundida	O
3	es	O
4	la	O
5	var	O

1	lowiana	O
2	(Gordon)	O
3	Lemmon,	O
4	considerada	O
5	por	O
6	algunos	O
7	autores	O
8	como	O
9	Abies	O
10	lowiana	O
11	(Gordon)	O
12	A	O

1	Zonas	O
2	7	O
3	a	O
4	9	O
5	ACACIA	O
6	SALIGNA	O
7	(Labill	O

1	)	O
2	H	O

1	Familia:	O
2	Mimosaceae	O
3	(Leguminosae)	O
4	Sinónimos:	O
5	Acacia	O
6	cyanophylla	O
7	Lindl	O

1	,	O
2	Mimosa	O
3	saligna	O
4	Labill	O

1	Nombre	O
2	común:	O
3	Acacia	O
4	azulada	O
5	Blue-leaved	O
6	wattle,	O
7	golden	O
8	wreath	O
9	wattle	O
10	Lugar	O
11	de	O
12	origen:	O
13	Australia	O

1	Etimología:	O
2	Acacia,	O
3	del	O
4	griego	O
5	akis	O
6	=punta,	O
7	aludiendo	O
8	a	O
9	las	O
10	espinas	O
11	de	O
12	las	O
13	especies	O
14	de	O
15	acacias	O
16	africanas,	O
17	ya	O
18	que	O
19	las	O
20	australianas	O
21	normalmente	O
22	carecen	O
23	de	O
24	ellas	O

1	Saligna,	O
2	alude	O
3	a	O
4	su	O
5	porte,	O
6	con	O
7	apariencia	O
8	de	O
9	sauce	O
10	(género	O
11	Salix)	O
12	Descripción:	O
13	Arbolito	O
14	perennifolio	O
15	de	O
16	3-8	O
17	m	O
18	de	O
19	altura,	O
20	con	O
21	la	O
22	copa	O
23	frondosa,	O
24	redondeada	O
25	y	O
26	el	O
27	ramaje	O
28	colgante,	O
29	muy	O
30	ornamental	O

1	Tronco	O
2	corto,	O
3	con	O
4	la	O
5	corteza	O
6	lisa	O
7	que,	O
8	a	O
9	veces,	O
10	se	O
11	desprende	O
12	en	O
13	placas	O

1	Filodios	O
2	muy	O
3	variables,	O
4	de	O
5	lineares	O
6	a	O
7	anchamente	O
8	lanceolados,	O
9	de	O
10	8-25	O
11	cm	O
12	de	O
13	longitud,	O
14	rectos	O
15	o	O
16	falcados,	O
17	estrechándose	O
18	hacia	O
19	la	O
20	base	O
21	y	O
22	hacia	O
23	la	O
24	punta	O

1	Son	O
2	de	O
3	color	O
4	glauco,	O
5	sobre	O
6	todo	O
7	cuando	O
8	jóvenes,	O
9	y	O
10	tienen	O
11	el	O
12	nervio	O
13	central	O
14	marcado	O

1	Inflorescencias	O
2	axilares	O

1	Racimos	O
2	con	O
3	numerosas	O
4	cabezuelas	O
5	globosas	O
6	de	O
7	color	O
8	amarillo	O
9	intenso	O

1	Pedúnculos	O
2	finos,	O
3	glabros	O

1	Florece	O
2	en	O
3	Marzo-Abril	O

1	Legumbres	O
2	lineares,	O
3	de	O
4	5-14	O
5	cm	O
6	de	O
7	longitud,	O
8	rectas	O
9	o	O
10	ligeramente	O
11	curvadas	O
12	y	O
13	con	O
14	la	O
15	superficie	O
16	ondulada,	O
17	algo	O
18	constreñidas	O
19	entre	O
20	las	O
21	semillas,	O
22	que	O
23	se	O
24	disponen	O
25	longitudinalmente	O

1	Datos	O
2	de	O
3	cultivo:	O
4	Se	O
5	multiplica	O
6	por	O
7	semillas	O

1	Muy	O
2	poco	O
3	exigente	O
4	en	O
5	clima	O
6	y	O
7	suelo	O

1	Resistente	O
2	a	O
3	los	O
4	vientos	O
5	salinos,	O
6	por	O
7	lo	O
8	que	O
9	se	O
10	planta	O
11	mucho	O
12	en	O
13	zonas	O
14	costeras	O

1	Su	O
2	madera	O
3	es	O
4	muy	O
5	frágil,	O
6	como	O
7	en	O
8	muchas	O
9	otras	O
10	especies	O
11	del	O
12	género,	O
13	por	O
14	lo	O
15	que	O
16	debe	O
17	descargarse	O
18	la	O
19	copa	O
20	mediante	O
21	podas	O
22	en	O
23	las	O
24	zonas	O
25	muy	O
26	ventosas	O
27	para	O
28	evitar	O
29	que	O
30	se	O
31	quiebre	O

1	Cultivada	O
2	como	O
3	ejemplar	O
4	aislado	O
5	o	O
6	en	O
7	alineaciones	O

1	Zonas	O
2	9	O
3	a	O
4	11	O
5	CAESALPINIA	O
6	SPINOSA	O
7	(Mol	O

1	)	O
2	Kuntze	O
3	Familia:	O
4	Caesalpiniaceae	O
5	(Leguminosae)	O
6	Sinónimos:	O
7	Poinciana	O
8	spinosa	O
9	Mol	O

1	,	O
2	Caesalpinia	O
3	tinctoria	O
4	(HBK	O

1	)	O
2	Dombey	O
3	ex	O
4	DC	O

1	Nombre	O
2	común:	O
3	Acacia	O
4	amarilla,	O
5	Dividi	O
6	de	O
7	los	O
8	Andes,	O
9	Tara	O
10	Spiny	O
11	holdback	O
12	Lugar	O
13	de	O
14	origen:	O
15	Perú	O

1	Etimología:	O
2	Caesalpinia,	O
3	en	O
4	honor	O
5	de	O
6	Andrea	O
7	Caesalpini	O
8	(1524-1603),	O
9	botánico	O
10	y	O
11	filósofo	O
12	italiano	O

1	Spinosa,	O
2	del	O
3	latín	O
4	spinosus-a-um,	O
5	con	O
6	espinas	O

1	Descripción:	O
2	Arbolito	O
3	o	O
4	arbusto	O
5	espinoso	O
6	de	O
7	3-5	O
8	m	O
9	de	O
10	altura	O
11	con	O
12	hojas	O
13	bipinnadas,	O
14	con	O
15	2-3	O
16	pares	O
17	de	O
18	pinnas	O
19	cada	O
20	una	O
21	con	O
22	7-8	O
23	pares	O
24	de	O
25	folíolos	O
26	oblongoelípticos,	O
27	subsésiles,	O
28	de	O
29	ápice	O
30	redondeado	O
31	y	O
32	unos	O
33	2	O

1	5	O
2	cm	O
3	de	O
4	longitud	O

1	Flores	O
2	amarillo-anaranjadas	O
3	en	O
4	inflorescencias	O
5	espiciformes	O
6	erectas	O
7	de	O
8	15-20	O
9	cm	O
10	de	O
11	longitud	O

1	Legumbre	O
2	plana	O
3	de	O
4	color	O
5	naranja	O
6	rojizo	O
7	y	O
8	de	O
9	unos	O
10	10-12	O
11	cm	O
12	de	O
13	longitud	O

1	Datos	O
2	de	O
3	cultivo:	O
4	Es	O
5	planta	O
6	productora	O
7	de	O
8	taninos	O
9	y	O
10	de	O
11	la	O
12	que	O
13	se	O
14	obtienen	O
15	tintes	O

1	Tiene	O
2	localmente	O
3	algunas	O
4	aplicaciones	O
5	medicinales	O

1	Sus	O
2	frutos	O
3	en	O
4	infusión	O
5	se	O
6	utilizan	O
7	para	O
8	gargarismos	O
9	contra	O
10	amigdalitis,	O
11	y	O
12	en	O
13	Colombia	O
14	preparan	O
15	una	O
16	bebida	O
17	depurativa	O
18	del	O
19	colesterol	O

1	Se	O
2	multiplica	O
3	por	O
4	semillas	O

1	Requiere	O
2	zonas	O
3	libres	O
4	de	O
5	heladas	O
6	y	O
7	exposición	O
8	soleada,	O
9	no	O
10	siendo	O
11	exigente	O
12	en	O
13	cuanto	O
14	a	O
15	riegos	O
16	ni	O
17	a	O
18	suelos	O

1	Tiene	O
2	un	O
3	crecimiento	O
4	bastante	O
5	rápido	O

1	Zona	O
2	9-11	O

1	GLEDITSIA	O
2	SINENSIS	O
3	Lam	O

1	Familia:	O
2	Caesalpiniaceae	O
3	(Leguminosae)	O
4	Nombre	O
5	común:	O
6	Acacia	O
7	de	O
8	China	O

1	Lugar	O
2	de	O
3	origen:	O
4	China	O

1	Etimología:	O
2	Gleditsia,	O
3	dedicado	O
4	a	O
5	J	O

1	Gottlieb	O
2	Gleditsch,	O
3	profesor	O
4	de	O
5	Botánica	O
6	en	O
7	Berlín	O
8	en	O
9	el	O
10	siglo	O
11	XVIII	O

1	Sinensis,	O
2	del	O
3	latín	O
4	sinensis-e	O
5	=	O
6	de	O
7	la	O
8	China	O

1	Descripción:	O
2	Árbol	O
3	de	O
4	10-15	O
5	m	O
6	de	O
7	altura	O
8	con	O
9	hojas	O
10	de	O
11	raquis	O
12	pubescente	O

1	Hojas	O
2	pinnadas	O
3	con	O
4	4-7	O
5	pares	O
6	de	O
7	folíolos	O
8	ovado-oblongos	O
9	de	O
10	3-8	O
11	cm	O
12	de	O
13	longitud,	O
14	obtusos	O
15	o	O
16	agudos,	O
17	mucronados,	O
18	con	O
19	el	O
20	margen	O
21	crenulado,	O
22	ligeramente	O
23	pubescentes	O
24	a	O
25	lo	O
26	largo	O
27	del	O
28	nervio	O
29	central	O
30	y	O
31	en	O
32	los	O
33	peciólulos	O

1	Espinas	O
2	ramificadas,	O
3	cónicas,	O
4	de	O
5	hasta	O
6	20	O
7	cm	O
8	de	O
9	longitud	O

1	Racimos	O
2	de	O
3	hasta	O
4	20	O
5	cm	O
6	de	O
7	longitud	O
8	con	O
9	flores	O
10	pediceladas	O

1	Legumbre	O
2	de	O
3	12-25	O
4	cm	O
5	de	O
6	longitud,	O
7	oblonga,	O
8	casi	O
9	recta,	O
10	leñosa	O
11	en	O
12	la	O
13	madurez,	O
14	con	O
15	numerosas	O
16	semillas	O

1	Datos	O
2	de	O
3	cultivo:	O
4	Se	O
5	multiplica	O
6	por	O
7	semillas,	O
8	que	O
9	deben	O
10	someterse	O
11	a	O
12	tratamientos	O
13	que	O
14	ablanden	O
15	sus	O
16	cubiertas	O

1	Especie	O
2	rústica	O
3	y	O
4	resistente	O
5	al	O
6	frío,	O
7	la	O
8	sequía	O
9	y	O
10	la	O
11	pobreza	O
12	de	O
13	suelos	O

1	Tiene	O
2	crecimiento	O
3	rápido	O
4	y	O
5	admite	O
6	muy	O
7	bien	O
8	la	O
9	poda	O

1	Zona	O
2	7	O
3	a	O
4	9	O

1	ALBIZIA	O
2	JULIBRISSIN	O
3	Durazz	O

1	Familia:	O
2	Mimosaceae	O
3	(Leguminosae)	O
4	Nombre	O
5	común:	O
6	Acacia	O
7	de	O
8	Constantinopla	O

1	Lugar	O
2	de	O
3	origen:	O
4	De	O
5	Irán	O
6	a	O
7	China,	O
8	Taiwán	O

1	Etimología:	O
2	Albizia,	O
3	dedicado	O
4	a	O
5	Filippo	O
6	de	O
7	Albizzi,	O
8	noble	O
9	italiano	O
10	del	O
11	siglo	O
12	XVIII	O
13	aficionado	O
14	a	O
15	las	O
16	plantas	O

1	Julibrissin,	O
2	al	O
3	parecer	O
4	es	O
5	el	O
6	nombre	O
7	persa	O
8	del	O
9	árbol	O
10	de	O
11	la	O
12	seda	O

1	Descripción:	O
2	Árbol	O
3	caducifolio	O
4	de	O
5	copa	O
6	aparasolada,	O
7	abierta	O
8	y	O
9	algo	O
10	colgante,	O
11	que	O
12	llega	O
13	a	O
14	alcanzar	O
15	alturas	O
16	de	O
17	8-12	O
18	m,	O
19	con	O
20	la	O
21	corteza	O
22	gris	O
23	llena	O
24	de	O
25	lenticelas	O
26	marrones	O

1	Hojas	O
2	bipinnadas,	O
3	con	O
4	7-25	O
5	pares	O
6	de	O
7	pinnas,	O
8	cada	O
9	una	O
10	de	O
11	las	O
12	cuales	O
13	tiene	O
14	de	O
15	20-30	O
16	pares	O
17	de	O
18	folíolos	O
19	oblongos	O
20	de	O
21	unos	O
22	6	O
23	mm	O
24	de	O
25	longitud,	O
26	con	O
27	el	O
28	ápice	O
29	agudo	O

1	Son	O
2	pubescentes	O
3	a	O
4	lo	O
5	largo	O
6	del	O
7	del	O
8	nervio	O
9	en	O
10	el	O
11	envés	O

1	Su	O
2	color	O
3	es	O
4	verde	O
5	intenso	O

1	Flores	O
2	pequeñas	O
3	dispuestas	O
4	en	O
5	grupos	O
6	de	O
7	unas	O
8	20	O
9	formando	O
10	espigas	O
11	en	O
